teamId,abbreviation,displayName,slug,seasonType,eventId,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance,updateTime
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704541,0,34.9,10.0,1.0,0.0,1.0,3.0,1.0,6.0,2.0,0.3,0.0,0.0,199.0,268.0,0.7,4.0,18.0,0.2,47.0,19.0,0.4,3.0,10.0,18.0,0.6,8.0,31.0,31.0,2025-02-28 05:53:14
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704554,0,30.9,9.0,3.0,0.0,1.0,3.0,3.0,9.0,4.0,0.4,0.0,0.0,208.0,261.0,0.8,7.0,18.0,0.4,46.0,17.0,0.4,2.0,8.0,17.0,0.5,5.0,25.0,25.0,2025-03-09 05:48:56
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704568,1,44.3,13.0,1.0,0.0,1.0,3.0,1.0,11.0,6.0,0.5,0.0,0.0,280.0,356.0,0.8,1.0,11.0,0.1,58.0,21.0,0.4,1.0,11.0,15.0,0.7,3.0,33.0,33.0,2025-03-16 04:51:22
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704569,0,31.8,5.0,1.0,0.0,1.0,3.0,5.0,8.0,2.0,0.3,0.0,0.0,227.0,310.0,0.7,3.0,11.0,0.3,52.0,17.0,0.3,2.0,7.0,16.0,0.4,6.0,42.0,42.0,2025-04-02 04:55:51
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704580,1,47.9,15.0,2.0,0.0,5.0,4.0,6.0,19.0,3.0,0.2,0.0,0.0,327.0,389.0,0.8,3.0,17.0,0.2,43.0,19.0,0.4,2.0,12.0,21.0,0.6,9.0,20.0,20.0,2025-04-06 04:54:38
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704589,0,42.4,9.0,0.0,0.0,2.0,1.0,4.0,10.0,5.0,0.5,0.0,0.0,249.0,333.0,0.7,4.0,12.0,0.3,47.0,10.0,0.2,3.0,9.0,15.0,0.6,5.0,43.0,43.0,2025-04-14 05:15:01
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704599,1,30.0,12.0,4.0,0.0,3.0,1.0,4.0,4.0,3.0,0.8,0.0,0.0,165.0,243.0,0.7,1.0,5.0,0.2,66.0,24.0,0.4,0.0,17.0,30.0,0.6,9.0,54.0,54.0,2025-04-23 05:00:03
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704616,0,54.6,10.0,3.0,0.0,4.0,4.0,1.0,14.0,5.0,0.4,0.0,0.0,306.0,381.0,0.8,5.0,28.0,0.2,50.0,26.0,0.5,5.0,4.0,8.0,0.5,8.0,32.0,32.0,2025-05-03 04:52:20
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704624,1,50.7,15.0,8.0,0.0,1.0,4.0,2.0,12.0,4.0,0.3,0.0,0.0,337.0,410.0,0.8,4.0,16.0,0.3,49.0,24.0,0.5,6.0,6.0,13.0,0.5,10.0,54.0,54.0,2025-05-07 04:53:55
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704635,0,55.7,11.0,3.0,0.0,1.0,4.0,4.0,15.0,4.0,0.3,0.0,0.0,368.0,433.0,0.9,8.0,27.0,0.3,32.0,16.0,0.5,5.0,8.0,17.0,0.5,4.0,25.0,25.0,2025-05-12 04:49:54
